setting_label,status,theta_min,theta_max,sci_alpha,sci_beta,sci_group_weights,fixed_objective_value,adaptive_objective_value,objective_diff_adaptive_minus_fixed,fixed_total_boundary_length,adaptive_total_boundary_length,boundary_diff_adaptive_minus_fixed,fixed_patch_count_8_neighbor,adaptive_patch_count_8_neighbor,patch_diff_adaptive_minus_fixed,fixed_largest_patch_share_8_neighbor,adaptive_largest_patch_share_8_neighbor,largest_patch_share_diff_adaptive_minus_fixed,fixed_target_min_achievement_ratio,adaptive_target_min_achievement_ratio,fixed_adaptive_overlap_share,different_cells
baseline,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.14,-0.5699999999999363,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
transit_heavier,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 1.0, ""soft_competition"": 0.5}",1191.71,1191.15,-0.5599999999999454,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
soft_heavier,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.8}",1191.71,1191.13,-0.5799999999999272,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
fixed_lighter,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 0.8, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.14,-0.5699999999999363,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
compressed_weights,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.9, ""soft_competition"": 0.7}",1191.71,1191.14,-0.5699999999999363,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
