setting_label,status,theta_min,theta_max,sci_alpha,sci_beta,sci_group_weights,fixed_objective_value,adaptive_objective_value,objective_diff_adaptive_minus_fixed,fixed_total_boundary_length,adaptive_total_boundary_length,boundary_diff_adaptive_minus_fixed,fixed_patch_count_8_neighbor,adaptive_patch_count_8_neighbor,patch_diff_adaptive_minus_fixed,fixed_largest_patch_share_8_neighbor,adaptive_largest_patch_share_8_neighbor,largest_patch_share_diff_adaptive_minus_fixed,fixed_target_min_achievement_ratio,adaptive_target_min_achievement_ratio,fixed_adaptive_overlap_share,different_cells
theta_0.2_1.0,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.14,-0.5699999999999363,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
theta_0.4_1.0,solved,0.4,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.29,-0.42000000000007276,171750.0,172500.0,750.0,60,61,1,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
theta_0.1_1.0,solved,0.1,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.07,-0.6400000000001,171750.0,173750.0,2000.0,60,63,3,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9997438087105038,6
theta_0.2_0.8,solved,0.2,0.8,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.11,-0.6000000000001364,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
theta_0.3_0.9,solved,0.3,0.9,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",1191.71,1191.2,-0.5099999999999909,171750.0,173500.0,1750.0,60,62,2,0.9751067463706234,0.9751067463706234,0.0,1.0,1.0,0.9998292058070024,4
