setting_label,status,theta_min,theta_max,sci_alpha,sci_beta,objective_diff_adaptive_minus_fixed,boundary_diff_adaptive_minus_fixed,patch_diff_adaptive_minus_fixed,largest_patch_share_diff_adaptive_minus_fixed,baseline_overlap_share,fixed_adaptive_overlap_share,different_cells
theta_0.2_1.0,solved,0.2,1.0,0.5,0.5,-0.5699999999999363,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
theta_0.4_1.0,solved,0.4,1.0,0.5,0.5,-0.42000000000007276,750.0,1,0.0,0.9998292058070025,0.9998292058070025,4
theta_0.1_1.0,solved,0.1,1.0,0.5,0.5,-0.6400000000001,2000.0,3,0.0,0.9997438087105038,0.9997438087105038,6
theta_0.2_0.8,solved,0.2,0.8,0.5,0.5,-0.6000000000001364,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
theta_0.3_0.9,solved,0.3,0.9,0.5,0.5,-0.5099999999999909,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
