setting_label,status,theta_min,theta_max,sci_alpha,sci_beta,sci_group_weights,objective_diff_adaptive_minus_fixed,boundary_diff_adaptive_minus_fixed,patch_diff_adaptive_minus_fixed,largest_patch_share_diff_adaptive_minus_fixed,baseline_overlap_share,fixed_adaptive_overlap_share,different_cells
baseline,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",-0.5699999999999363,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
transit_heavier,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 1.0, ""soft_competition"": 0.5}",-0.5599999999999454,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
soft_heavier,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.8, ""soft_competition"": 0.8}",-0.5799999999999272,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
fixed_lighter,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 0.8, ""linear_transit"": 0.8, ""soft_competition"": 0.5}",-0.5699999999999363,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
compressed_weights,solved,0.2,1.0,0.5,0.5,"{""fixed_barriers"": 1.0, ""linear_transit"": 0.9, ""soft_competition"": 0.7}",-0.5699999999999363,1750.0,2,0.0,0.9998292058070025,0.9998292058070025,4
